CustomerID,Recency,Frequency,Monetary,Rank,R_Quartile,F_Quartile,M_Quartile,RFMScore,CustomerClass
12346.0,325,1,77183.6,2.0,1,1,4,114,BigSpenders
12347.0,2,7,163.16,889.0,4,4,4,444,Best
12348.0,75,4,331.36,447.0,2,3,4,234,BigSpenders
12349.0,18,1,15.0,3524.5,3,1,1,311,Others
12350.0,310,1,25.200000000000003,2890.0,1,1,2,112,Others
12352.0,36,8,536.3,271.0,3,4,4,344,Loyal
12353.0,204,1,19.9,3100.0,1,1,2,112,Others
12354.0,232,1,20.8,3036.0,1,1,2,112,Others
12355.0,214,1,30.0,2724.0,1,1,2,112,Others
12356.0,22,3,153.9,937.5,3,3,4,334,BigSpenders
12357.0,33,1,19.799999999999997,3140.0,3,1,2,312,Others
12358.0,1,2,157.8,916.5,4,2,4,424,BigSpenders
12359.0,57,4,80.7,1538.0,2,3,3,233,Others
12360.0,52,3,46.3,2193.0,2,3,2,232,Others
12361.0,287,1,23.4,2960.0,1,1,2,112,Others
12362.0,3,10,215.13,675.0,4,4,4,444,Best
12363.0,109,2,85.26,1470.0,2,2,3,223,Others
12364.0,7,4,80.7,1538.0,4,3,3,433,Others
12365.0,291,2,335.69,439.0,1,2,4,124,BigSpenders
12367.0,4,1,10.2,3809.0,4,1,1,411,Others
12370.0,51,4,321.38,469.0,2,3,4,234,BigSpenders
12371.0,44,2,365.04,402.0,3,2,4,324,BigSpenders
12372.0,71,3,90.11999999999999,1410.5,2,3,3,233,Others
12373.0,311,1,19.5,3166.0,1,1,2,112,Others
12374.0,25,1,13.049999999999999,3653.5,3,1,1,311,Others
12375.0,10,2,74.80000000000001,1645.0,4,2,3,423,Others
12377.0,315,2,57.0,1947.0,1,2,3,123,Others
12378.0,129,1,12.600000000000001,3687.0,2,1,1,211,Others
12379.0,81,2,92.69999999999999,1386.0,2,2,3,223,Others
12380.0,21,4,220.72000000000003,662.0,3,3,4,334,BigSpenders
12381.0,4,5,75.1,1638.0,4,3,3,433,Others
12383.0,184,5,102.4,1296.0,1,3,3,133,Others
12384.0,28,2,40.0,2345.5,3,2,2,322,Others
12386.0,337,2,98.0,1342.5,1,2,3,123,Others
12388.0,15,6,140.52,1012.0,4,4,4,444,Best
12390.0,79,1,19.8,3116.5,2,1,2,212,Others
12391.0,21,1,2.95,4219.5,3,1,1,311,Others
12393.0,72,4,67.2,1768.5,2,3,3,233,Others
12394.0,63,2,156.20000000000002,927.0,2,2,4,224,BigSpenders
12395.0,19,12,215.43,674.0,3,4,4,344,Loyal
12397.0,35,2,31.85,2648.0,3,2,2,322,Others
12398.0,45,1,15.0,3524.5,3,1,1,311,Others
