CustomerID,LastPurshaceDate,Recency,Frequency,Monetary,Rank,R_Quartile,F_Quartile,M_Quartile,RFMScore
12346.0,2011-01-18,325,1,77183.6,2.0,1,1,4,114
12747.0,2011-12-07,2,10,658.89,183.0,4,4,4,444
12748.0,2011-12-09,0,196,3739.2299999999996,34.0,4,4,4,444
12749.0,2011-12-06,3,5,98.35,1140.0,4,3,3,433
12820.0,2011-12-06,3,4,58.2,1665.5,4,3,3,433
12821.0,2011-05-09,214,1,19.92,2712.5,1,1,2,112
12822.0,2011-09-30,70,2,30.799999999999997,2345.0,2,2,2,222
12823.0,2011-09-26,74,5,1759.5,76.0,2,3,4,234
12824.0,2011-10-11,59,1,5.04,3612.0,2,1,1,211
12826.0,2011-12-07,2,7,122.8,956.0,4,4,4,444
12827.0,2011-12-04,5,3,84.21000000000001,1266.0,4,3,3,433
12828.0,2011-12-07,2,6,154.8,785.0,4,4,4,444
12829.0,2011-01-07,336,2,95.80000000000001,1159.0,1,2,3,123
12830.0,2011-11-02,37,6,1789.92,70.0,3,4,4,344
12831.0,2011-03-22,262,1,34.199999999999996,2253.0,1,1,2,112
12832.0,2011-11-07,32,2,19.9,2720.5,3,2,2,322
12833.0,2011-07-17,145,1,15.0,3106.0,1,1,1,111
12834.0,2011-03-02,282,1,15.9,3012.0,1,1,1,111
12836.0,2011-10-11,59,4,29.05,2426.0,2,3,2,232
12837.0,2011-06-19,173,1,17.0,2929.5,1,1,1,111
12838.0,2011-11-06,33,1,5.9,3579.5,3,1,1,311
12839.0,2011-12-07,2,13,216.21,570.0,4,4,4,444
12840.0,2011-07-19,143,4,138.6,866.0,1,3,4,134
12841.0,2011-12-05,4,23,316.69,393.0,4,4,4,444
12842.0,2011-09-30,70,2,22.8,2610.5,2,2,2,222
12843.0,2011-10-05,65,8,123.19999999999999,952.0,2,4,4,244
12844.0,2011-11-10,29,2,8.7,3451.5,3,2,1,321
12845.0,2011-03-17,267,4,284.79999999999995,444.0,1,3,4,134
12847.0,2011-11-17,22,1,1.17,3834.5,3,1,1,311
12849.0,2011-11-08,31,2,44.699999999999996,1940.0,3,2,2,322
12851.0,2011-09-04,96,1,4.16,3683.5,2,1,1,211
12852.0,2011-02-18,294,1,17.4,2898.0,1,1,1,111
12853.0,2011-07-28,134,6,202.2,612.0,2,4,4,244
12854.0,2011-09-22,78,3,158.29999999999998,769.0,2,3,4,234
12856.0,2011-12-02,7,6,44.58,1942.0,4,4,2,442
12857.0,2011-05-13,210,2,53.400000000000006,1741.0,1,2,3,123
12863.0,2011-10-18,52,1,340.0,362.0,2,1,4,214
12864.0,2011-07-24,138,1,17.4,2898.0,1,1,1,111
12867.0,2011-11-13,26,7,53.74,1735.0,3,4,3,343
12868.0,2011-06-07,185,5,94.25,1173.0,1,3,3,133
12871.0,2011-09-16,84,2,178.2,680.0,2,2,4,224
12872.0,2011-01-17,326,2,50.0,1817.5,1,2,3,123
12873.0,2011-03-02,282,1,68.0,1499.5,1,1,3,113
12875.0,2011-07-19,143,2,343.2300000000001,359.0,1,2,4,124
12877.0,2011-12-06,3,12,365.78999999999996,334.0,4,4,4,444
12878.0,2011-04-17,236,2,45.0,1930.5,1,2,2,122
12879.0,2011-10-26,44,3,192.72,639.0,3,3,4,334
12881.0,2011-03-09,275,1,195.0,632.5,1,1,4,114
